category,sku,value,title,imageUrl,description
cerveja-de-trigo,PR01-16273,05.99,Cerveja Hoegaarden Wit 330ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/169192-1200-auto?width=1200&height=auto&aspect=true,"A Cerveja Hoegaarden Wit 330 ml é uma Witbier belga: feita de trigo, de cor clara e turva. As sementes de coentro e raspas de casca de laranja, utilizadas em sua produção, lhe conferem um gosto refrescante e suave, e ao mesmo tempo doce e 	levemente cítrico."
cerveja-de-trigo,PR02-91735,12.79,Cerveja Patagonia Weisse 740ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/179266-1200-auto?width=1200&height=auto&aspect=true,"O aroma cítrico e a cor clara da Patagonia Weisse 740 ml são características tradicionais das Witbiers. As notas de laranja, limão e abacaxi equilibram perfeitamente o aroma e o sabor refrescante e pouco adocicado desta cerveja."
cerveja-de-trigo,PR03-71632,19.53,Cerveja Erdinger Tradicional Weiss 500ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/175042-1200-auto?width=1200&height=auto&aspect=true,"Refrescante, encorpada, aromática e levemente frutada é a ícone entre as cervejas de trigo. Harmoniza com sushis, peixes, frutos do mar, saladas, grelhados, salsichas e pratos apimentados."
india-pale-ale,PR04-84739,07.92,Cerveja Patagonia 24.7 355ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/177121-1200-auto?width=1200&height=auto&aspect=true, "Celebrada por seu sabor único, a Patagonia 24.7, famosa Session IPA com sauco e mel, chega ao Brasil. Seu nome é inspirado pelo quilômetro exato onde está localizada a cervejaria argentina no Circuito Chico, em Bariloche."
india-pale-ale,PR05-22791,07.42,Cerveja Maniacs IPA 355ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/173709-1200-auto?width=1200&height=auto&aspect=true,"A Maniacs IPA é uma cerveja PURO MALTE, com aroma e amargor pronunciados. O estilo India Pale Ale (IPA) é oriundo da Inglaterra. Nossa Maniacs IPA tem grande adição de lúpulos que proporcionam aromas frutados e amargor marcante."
india-pale-ale,PR06-84628,15.99,Cerveja Colorado Vixnu 600ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/169392-1200-auto?width=1200&height=auto&aspect=true,"Colorado Vixnu (600ml), além de ser o nome de uma das principais divindades hindus, é também o nome desta deliciosa variação da receita Imperial India Pale Ale. A mistura de lúpulos americanos com toque especial da rapadura conferem a essa cerveja um delicioso equilíbrio entre o sabor do malte e as notas cítricas do maracujá."
india-pale-ale,PR07-18541,25.90,Cerveja Three Monkeys Classic West Coast IPA 500ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/173826-1200-auto?width=1200&height=auto&aspect=true,"Nada supera o CLÁSSICO! Lúpulos tradicionais como Amarillo, Centennial e Citra com a modernidade e tropicalidade do El Dorado e do Galaxy. Um perfil clean vindo do fermento americano e dos maltes cuidadosamente selecionados criando uma base pro lúpulo brilhar, como uma IPA deve ser."
india-pale-ale,PR08-02735,07.92,Cerveja Roleta Russa Easy IPA 350ml,https://emporiodacerveja.vtexassets.com/arquivos/ids/175242-1200-auto?width=1200&height=auto&aspect=true,"Estilo americano, de coloração amarelo claro, espuma branca de boa formação e persistência. Aroma e sabor cítrico que remetem a frutas tropicais e amarelas, como maracujá e mamão papaia. Corpo leve, boa carbonatação e alta drinkability."
india-pale-ale,PR09-65282,11.99,Cerveja Wals Session Citra 600ml, https://emporiodacerveja.vtexassets.com/arquivos/ids/169207-1200-auto?width=1200&height=auto&aspect=true, "A massiva quantidade de lúpulo americano Citra e base de malte fazem dessa Session IPA uma explosão de refrescância. Possui amargor moderado e aroma cítrico. A Cerveja Wals Session Citra 600ml, mesmo consumida em grandes quantidades, não perde suas qualidades nem seus sabores intensos (sempre relevantes ao paladar)."
india-pale-ale,PR10-35163,19.53,Cerveja Hocus Pocus Interstellar American IPA 500ml, https://emporiodacerveja.vtexassets.com/arquivos/ids/179014-1200-auto?width=1200&height=auto&aspect=true, "A Interstellar é a primeira American IPA feita pela Hocus Pocus. Utilizando o dobro da quantidade de lúpulos da APA Cadabra em um perfil bem diferente que inclui Azacca e Mosaic, a Interstellar é uma bomba de aromas de manga e maracujá, com sabor de lúpulo extremo para uma IPA"
